experiment_name,classifier_type,embedding_type,split_mode,best_cv_score,accuracy,macro_f1,weighted_f1,mae,topic_avg_accuracy,topic_avg_macro_f1
svm_tfidf_media_use_select_kbest-use_vader_sentiment,svm,tfidf,media,0.5841830502263378,0.42153846153846153,0.38962708948396946,0.4178910746974538,0.8676923076923077,,
nb_tfidf_random_use_select_kbest-use_smote-use_vader_sentiment,nb,tfidf,random,0.6457706471292679,0.6407692307692308,0.627790901574509,0.635054160968707,0.5607692307692308,,
logreg_tfidf_media_use_select_kbest-use_lexical_syntactic,logreg,tfidf,media,0.7576958662970885,0.5261538461538462,0.5025468293627856,0.529042231207758,0.67,,
cnb_tfidf_media_use_select_kbest-use_lexical_syntactic,cnb,tfidf,media,0.6881394949685169,0.5223076923076924,0.4520490116706088,0.4971243977119984,0.7169230769230769,,
cnb_tfidf_media_use_select_kbest-use_smote,cnb,tfidf,media,0.6909202985475684,0.5269230769230769,0.46406749464791935,0.5065984836660773,0.7053846153846154,,
svm_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,svm,tfidf,media,0.5809138323616728,0.4276923076923077,0.4031711362800827,0.42637369443388284,0.8530769230769231,,
rf_tfidf_random_use_select_kbest-use_smote-use_vader_sentiment,rf,tfidf,random,0.6713550278579123,0.6353846153846154,0.6339891335131426,0.6308489561470342,0.5784615384615385,,
nb_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,nb,tfidf,media,0.6813685435886873,0.5115384615384615,0.4380094553113307,0.48199192351642434,0.7492307692307693,,
svm_tfidf_random_use_select_kbest-use_smote-use_lexical_syntactic,svm,tfidf,random,0.48471152885177354,0.4846153846153846,0.44720865664460446,0.47206672910924036,0.7761538461538462,,
nb_tfidf_media_use_select_kbest-use_smote,nb,tfidf,media,0.689868704721847,0.5138461538461538,0.4576979344796414,0.4956815038411126,0.7346153846153847,,
xgb_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,xgb,tfidf,media,0.7679855362861595,0.563076923076923,0.5411954109072079,0.5610741645829678,0.6446153846153846,,
xgb_tfidf_random_use_select_kbest-use_vader_sentiment,xgb,tfidf,random,0.7312626425000873,0.6976923076923077,0.7029828751815845,0.6973772628226618,0.4876923076923077,,
xgb_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,xgb,tfidf,media,0.7674413067101943,0.563076923076923,0.5411954109072079,0.5610741645829678,0.6446153846153846,,
nb_tfidf_random_use_select_kbest-use_smote,nb,tfidf,random,0.6509366758563057,0.6569230769230769,0.6456664561418791,0.6520051129043876,0.5376923076923077,,
nb_tfidf_media_use_select_kbest-use_vader_sentiment,nb,tfidf,media,0.6807985445031636,0.5138461538461538,0.43796343043625674,0.4830422001208493,0.7438461538461538,,
svm_tfidf_random_use_select_kbest-use_smote-use_vader_sentiment,svm,tfidf,random,0.5287910607805278,0.48615384615384616,0.4839033332721261,0.48889758442268,0.7630769230769231,,
logreg_tfidf_random_use_select_kbest-use_smote-use_lexical_syntactic,logreg,tfidf,random,0.7218993151101367,0.6853846153846154,0.6851214088289571,0.6839252022672959,0.4869230769230769,,
xgb_tfidf_media_use_select_kbest-use_lexical_syntactic,xgb,tfidf,media,0.7709407892642014,0.5646153846153846,0.536812535193102,0.5597488179836358,0.6515384615384615,,
rf_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,rf,tfidf,media,0.7144505196373276,0.5107692307692308,0.4641481435865115,0.49518304513414424,0.7623076923076924,,
svm_tfidf_random_use_select_kbest-use_smote,svm,tfidf,random,0.5325664467978936,0.4592307692307692,0.4504567047304371,0.4616917971341151,0.8076923076923077,,
xgb_tfidf_media_use_select_kbest-use_smote,xgb,tfidf,media,0.7703714495726505,0.5615384615384615,0.5356726866703002,0.5578712435468842,0.6469230769230769,,
cnb_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,cnb,tfidf,media,0.6802894057085992,0.5161538461538462,0.4433985490165266,0.4879506560854875,0.7323076923076923,,
rf_tfidf_random_use_select_kbest-use_smote-use_vader_sentiment,rf,tfidf,random,0.6713217854855201,0.6353846153846154,0.6339891335131426,0.6308489561470342,0.5784615384615385,,
logreg_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,logreg,tfidf,media,0.771334218939432,0.5192307692307693,0.5026001951102516,0.523211958695694,0.6961538461538461,,
svm_tfidf_media_use_select_kbest-use_smote,svm,tfidf,media,0.5866123793037119,0.45692307692307693,0.4323315860239714,0.4553952192592421,0.796923076923077,,
logreg_tfidf_random_use_select_kbest-use_lexical_syntactic,logreg,tfidf,random,0.7107267743992182,0.6738461538461539,0.6713949683499713,0.6739373893638496,0.48923076923076925,,
cnb_tfidf_random_use_select_kbest-use_smote-use_vader_sentiment,cnb,tfidf,random,0.6466315880565436,0.6361538461538462,0.6259216636247995,0.6323887213181708,0.5653846153846154,,
cnb_tfidf_random_use_select_kbest-use_smote-use_vader_sentiment,cnb,tfidf,random,0.6466315880565436,0.6361538461538462,0.6259216636247995,0.6323887213181708,0.5653846153846154,,
nb_tfidf_random_use_select_kbest-use_vader_sentiment,nb,tfidf,random,0.6444547979937799,0.6369230769230769,0.623892950314353,0.6313239398598118,0.566923076923077,,
rf_tfidf_random_use_select_kbest-use_smote,rf,tfidf,random,0.6707395286587101,0.6315384615384615,0.6300265944703898,0.6271250327929385,0.5853846153846154,,
nb_tfidf_media_use_select_kbest-use_lexical_syntactic,nb,tfidf,media,0.6875143448499433,0.5138461538461538,0.45036346313564385,0.49163385210241545,0.7353846153846154,,
rf_tfidf_random_use_select_kbest-use_vader_sentiment,rf,tfidf,random,0.6760882386401688,0.6215384615384615,0.6240015602712409,0.6180300529638988,0.5976923076923077,,
cnb_tfidf_media_use_select_kbest-use_vader_sentiment,cnb,tfidf,media,0.6781930041313804,0.5115384615384615,0.4292934861242843,0.477949488953543,0.7392307692307692,,
nb_tfidf_random_use_select_kbest-use_smote-use_lexical_syntactic,nb,tfidf,random,0.6145631051285572,0.6023076923076923,0.5995418845834358,0.6015936517626268,0.5815384615384616,,
logreg_tfidf_media_use_select_kbest-use_smote,logreg,tfidf,media,0.7542633254174876,0.53,0.5107841100364386,0.5335979594476575,0.6761538461538461,,
logreg_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,logreg,tfidf,media,0.7552495456243645,0.5238461538461539,0.5032919327173665,0.5276357070887092,0.6753846153846154,,
logreg_tfidf_random_use_select_kbest-use_smote,logreg,tfidf,random,0.7092129937344411,0.6730769230769231,0.6731062748332916,0.6723452087736528,0.5069230769230769,,
xgb_tfidf_random_use_select_kbest-use_smote,xgb,tfidf,random,0.7268344226873278,0.6992307692307692,0.7025926462336701,0.6979219977009068,0.47615384615384615,,
cnb_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,cnb,tfidf,media,0.6802894057085992,0.5161538461538462,0.4433985490165266,0.4879506560854875,0.7323076923076923,,
rf_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,rf,tfidf,media,0.7144505196373276,0.5107692307692308,0.4641481435865115,0.49518304513414424,0.7623076923076924,,
nb_tfidf_random_use_select_kbest-use_smote-use_vader_sentiment,nb,tfidf,random,0.6457706471292679,0.6407692307692308,0.627790901574509,0.635054160968707,0.5607692307692308,,
cnb_tfidf_random_use_select_kbest-use_smote,cnb,tfidf,random,0.6473974857859062,0.6538461538461539,0.6440028999629851,0.6505951934785746,0.5284615384615384,,
svm_tfidf_random_use_select_kbest-use_smote-use_vader_sentiment,svm,tfidf,random,0.3827290617803597,0.2853846153846154,0.27775880414794774,0.27262685721882496,0.9584615384615385,,
nb_tfidf_random_use_select_kbest-use_lexical_syntactic,nb,tfidf,random,0.6486074359469162,0.6476923076923077,0.6356015545993204,0.6428596497167127,0.5515384615384615,,
svm_tfidf_random_use_select_kbest-use_lexical_syntactic,svm,tfidf,random,0.5247575530081504,0.4969230769230769,0.4877288031867504,0.49858980166474653,0.7461538461538462,,
rf_tfidf_media_use_select_kbest-use_lexical_syntactic,rf,tfidf,media,0.7203515369689224,0.4930769230769231,0.44966328566618813,0.4786247356065533,0.7876923076923077,,
cnb_tfidf_random_use_select_kbest-use_vader_sentiment,cnb,tfidf,random,0.644445361313483,0.6315384615384615,0.618216212965275,0.6269474910051976,0.573076923076923,,
svm_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,svm,tfidf,media,0.44811968186412504,0.36,0.3019016703907335,0.3013300508881961,1.0438461538461539,,
nb_tfidf_media_use_select_kbest-use_smote-use_vader_sentiment,nb,tfidf,media,0.6813685435886873,0.5115384615384615,0.4380094553113307,0.48199192351642434,0.7492307692307693,,
logreg_tfidf_media_use_select_kbest-use_smote-use_lexical_syntactic,logreg,tfidf,media,0.7676073912239529,0.5407692307692308,0.5167686814745639,0.5431125885243532,0.6538461538461539,,
rf_tfidf_media_use_select_kbest-use_smote,rf,tfidf,media,0.7160990312358686,0.5169230769230769,0.4772038819846401,0.504424080049972,0.7569230769230769,,
